shall,1,Imperative
must,2,Imperative
are to,1,Imperative
responsible for,1,Imperative
will,6,Imperative
should,8,Imperative
support,3,Weak
shall,1,Weak
must,2,Weak
are to,1,Weak
responsible for,1,Weak
will,6,Weak
should,8,Weak
use,4,Weak
out,2,Weak
table,1,Directive
and,29,Continuance
can,2,option
may,4,option
